Unnamed: 0,"Cercopithecus_mona,Erythrocebus_patas","Chlorocebus_sabaeus,Erythrocebus_patas","Cercopithecus_mona,Chlorocebus_sabaeus"
chr18.window1k.dnd,3446,34715,3472
chr19.window1k.dnd,1422,12393,1399
chr15.window1k.dnd,2969,34781,2846
chr14.window1k.dnd,3026,37439,3238
chr16.window1k.dnd,2828,33083,2823
chr17.window1k.dnd,2911,28507,2996
chr12.window1k.dnd,5132,57101,5226
chr13.window1k.dnd,3702,42460,3848
chr11.window1k.dnd,4788,55090,4846
chr10.window1k.dnd,5789,58374,5707
chr9.window1k.dnd,4330,53616,4390
chr8.window1k.dnd,5119,58036,5137
chr4.window1k.dnd,8101,86498,8107
chr5.window1k.dnd,7226,83291,7491
chr7.window1k.dnd,5625,58721,5738
chr6.window1k.dnd,5760,76164,5919
chr22.window1k.dnd,1287,11743,1371
chrX.window1k.dnd,5074,59283,5332
chr3.window1k.dnd,7883,91574,8167
chrY.window1k.dnd,663,2625,558
chr2.window1k.dnd,10153,108336,10137
chr21.window1k.dnd,1396,15288,1330
chr20.window1k.dnd,1659,28904,1678
chr1.window1k.dnd,8438,96906,8645
