Unnamed: 0,"Lophocebus_aterrimus,Papio_hamadryas","Lophocebus_aterrimus,Theropithecus_gelada","Papio_hamadryas,Theropithecus_gelada"
chr17.window1k.dnd,14278,10415,10854
chr5.window1k.dnd,41128,28984,31128
chr4.window1k.dnd,39614,28216,30481
chr16.window1k.dnd,16099,11184,11932
chr6.window1k.dnd,35778,26482,28087
chr14.window1k.dnd,19222,14017,14693
chr15.window1k.dnd,17117,12314,13158
chr7.window1k.dnd,33120,24221,25746
chr10.window1k.dnd,30331,19248,20743
chr2.window1k.dnd,53776,38923,42008
chrY.window1k.dnd,1631,974,1123
chr3.window1k.dnd,41858,30488,32739
chrX.window1k.dnd,32127,21369,22295
chr11.window1k.dnd,27437,19885,20974
chr1.window1k.dnd,48148,35020,36930
chr13.window1k.dnd,20388,14431,15716
chr12.window1k.dnd,27701,20535,21639
chr19.window1k.dnd,6430,4659,4963
chr18.window1k.dnd,17254,12125,13413
chr8.window1k.dnd,33057,23403,24841
chr9.window1k.dnd,25712,18238,19187
chr20.window1k.dnd,13500,9545,10366
chr21.window1k.dnd,7464,5411,5784
chr22.window1k.dnd,5019,3534,3813
