"Lemur_catta,Nycticebus_bengalensis","Lemur_catta,Macaca_mulatta","Macaca_mulatta,Nycticebus_bengalensis",chr,ILS,asymmetry
21996,217,163,chr1,0.016982481229889167,1.3312883435582823
24641,137,94,chr2,0.009287552267610164,1.4574468085106382
18841,171,96,chr3,0.013973204940339125,1.78125
10528,123,170,chr4,0.027076979946400518,0.7235294117647059
17123,139,98,chr5,0.013652073732718893,1.4183673469387754
14271,109,62,chr6,0.011840465309513918,1.7580645161290323
13293,73,46,chr7,0.008872651356993737,1.5869565217391304
11210,93,41,chr8,0.01181241184767278,2.268292682926829
11813,60,42,chr9,0.008560637851447755,1.4285714285714286
12173,76,55,chr10,0.010646944083224967,1.3818181818181818
12665,103,62,chr11,0.012860483242400623,1.6612903225806452
10799,61,51,chr12,0.010264870314361654,1.196078431372549
7749,54,27,chr13,0.010344827586206896,2.0
8655,57,42,chr14,0.011309115832762166,1.3571428571428572
6828,71,93,chr15,0.02345537757437071,0.7634408602150538
7073,53,49,chr16,0.01421602787456446,1.0816326530612246
7317,47,35,chr17,0.01108257872685498,1.3428571428571427
7156,50,21,chr18,0.009824270098242702,2.380952380952381
2390,51,34,chr19,0.03434343434343434,1.5
5833,37,25,chr20,0.010517387616624258,1.48
2584,15,5,chr21,0.007680491551459293,3.0
2537,22,15,chr22,0.014374514374514374,1.4666666666666666
9496,76,60,chrX,0.014119601328903655,1.2666666666666666
171,14,7,chrY,0.109375,2.0
