Cebus_albifrons.Sapajus_apella,Cebus_albifrons.Saguinus_midas,Saguinus_midas.Sapajus_apella,chr,ILS,asymmetry
83131,93,102,chr1,0.0023402059381225546,0.9117647058823529
98174,61,86,chr2,0.0014951027756023637,0.7093023255813954
76644,62,54,chr3,0.0015112037519541429,1.1481481481481481
69279,56,65,chr4,0.0017435158501440922,0.8615384615384616
70073,47,53,chr5,0.0014250495204708364,0.8867924528301887
63013,46,49,chr6,0.001505355897825949,0.9387755102040817
56758,48,43,chr7,0.001600731763091699,1.1162790697674418
55543,44,27,chr8,0.0012766569568813608,1.6296296296296295
41407,35,66,chr9,0.00243326587645755,0.5303030303030303
49475,43,49,chr10,0.0018560735973530776,0.8775510204081632
48656,29,48,chr11,0.001580038167155726,0.6041666666666666
48547,43,47,chr12,0.001850443078314863,0.9148936170212766
36426,25,16,chr13,0.0011243041654098226,1.5625
33578,14,16,chr14,0.0008926446084265652,0.875
27531,40,34,chr15,0.002680673790979895,1.1764705882352942
27928,51,32,chr16,0.002963121630787905,1.59375
21310,24,33,chr17,0.002667665091028221,0.7272727272727273
28749,14,19,chr18,0.001146549927037732,0.7368421052631579
8671,53,27,chr19,0.009141812364301222,1.962962962962963
23894,15,16,chr20,0.0012957157784743991,0.9375
11824,20,13,chr21,0.0027831660622417136,1.5384615384615385
9019,28,21,chr22,0.005403617115130128,1.3333333333333333
47982,226,127,chrX,0.007303196441502017,1.779527559055118
2809,42,29,chrY,0.024652777777777777,1.4482758620689655
