Unnamed: 0,"Homo_sapiens,Pongo_pygmaeus","Hylobates_lar,Pongo_pygmaeus","Homo_sapiens,Hylobates_lar"
chr20.window1k.dnd,19407,5851,5883
chr21.window1k.dnd,9455,3661,3593
chr22.window1k.dnd,8124,2655,2696
chr19.window1k.dnd,8817,2478,2559
chr1.window1k.dnd,71532,20759,21256
chr18.window1k.dnd,24761,7479,7553
chr2.window1k.dnd,78936,22743,22879
chrY.window1k.dnd,1420,1329,898
chr3.window1k.dnd,65706,18956,19402
chrX.window1k.dnd,46745,11219,11341
chr6.window1k.dnd,55048,15860,15766
chr7.window1k.dnd,46226,13824,13640
chr5.window1k.dnd,52106,14454,14688
chr4.window1k.dnd,57021,16894,17233
chr17.window1k.dnd,20793,5787,5815
chr16.window1k.dnd,22485,6347,6653
chr14.window1k.dnd,27379,8054,8205
chr15.window1k.dnd,25290,7460,7572
chr8.window1k.dnd,45758,13321,13347
chr10.window1k.dnd,41860,11958,12302
chr9.window1k.dnd,40803,8634,8595
chr11.window1k.dnd,40787,11585,11650
chr13.window1k.dnd,29053,8915,8834
chr12.window1k.dnd,40442,11754,11915
