Macaca_mulatta.Mus_musculus,Mus_musculus.Oryctolagus_cuniculus,Macaca_mulatta.Oryctolagus_cuniculus,chr,ILS,asymmetry
4550,4048,2869,chr1,0.603209209034621,1.410944579993029
4503,4568,3043,chr2,0.6282813273897969,1.5011501807426881
3493,3742,2366,chr3,0.6361837308613686,1.5815722738799662
2373,2343,1612,chr4,0.625,1.4534739454094292
3258,3293,2087,chr5,0.6228293586478352,1.5778629611883086
2636,2559,1681,chr6,0.6166375799883653,1.5223081499107673
2365,2403,1592,chr7,0.6281446540880503,1.5094221105527639
2089,1933,1371,chr8,0.6126460226219173,1.4099197665937273
2214,2128,1460,chr9,0.6184074457083765,1.4575342465753425
2254,2250,1466,chr10,0.6224455611390285,1.534788540245566
2663,2390,1674,chr11,0.604132599970269,1.4277180406212664
1894,2196,1245,chr12,0.6449859418931584,1.763855421686747
1369,1281,983,chr13,0.62317643820534,1.3031536113936928
1626,1769,1036,chr14,0.6330399458361544,1.7075289575289576
1304,1428,1028,chr15,0.6531914893617021,1.3891050583657587
1372,1272,873,chr16,0.6098947967017344,1.4570446735395188
1596,1405,918,chr17,0.5927532533809645,1.5305010893246187
1270,1217,842,chr18,0.6185040552718534,1.4453681710213777
374,397,293,chr19,0.6484962406015038,1.3549488054607508
1094,1036,668,chr20,0.6090064331665476,1.5508982035928143
408,374,226,chr21,0.5952380952380952,1.654867256637168
432,331,217,chr22,0.5591836734693878,1.5253456221198156
2020,2015,1375,chrX,0.6266173752310537,1.4654545454545456
46,37,30,chrY,0.5929203539823009,1.2333333333333334
