Unnamed: 0,"Pygathrix_nemaeus,Rhinopithecus_roxellana","Pygathrix_nemaeus,Trachypithecus_phayrei","Rhinopithecus_roxellana,Trachypithecus_phayrei"
chr12.window1k.dnd,39645,12066,11587
chr13.window1k.dnd,27828,8452,8130
chr11.window1k.dnd,38747,11520,10825
chr10.window1k.dnd,39228,12753,11977
chr15.window1k.dnd,24856,7472,7217
chr14.window1k.dnd,27193,8407,8038
chr9.window1k.dnd,35354,11081,10791
chr16.window1k.dnd,22061,6536,6029
chr17.window1k.dnd,19811,5905,5453
chr8.window1k.dnd,43551,13366,12697
chrX.window1k.dnd,43817,11422,10481
chr3.window1k.dnd,62895,19231,18534
chrY.window1k.dnd,2348,632,671
chr2.window1k.dnd,77406,23877,22473
chr1.window1k.dnd,68802,21050,20005
chr4.window1k.dnd,59789,17918,17300
chr5.window1k.dnd,56449,17533,16830
chr7.window1k.dnd,47111,14776,13998
chr18.window1k.dnd,23812,7553,7142
chr19.window1k.dnd,8494,2674,2408
chr6.window1k.dnd,51086,16001,15189
chr22.window1k.dnd,8193,2346,2313
chr21.window1k.dnd,10508,3266,3124
chr20.window1k.dnd,19438,5798,5437
